x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
6.326530612244897543e-07,6.996649647574862500e+13,9.466574920945023438e+13,1.351832519295521406e+14
6.734693877551019282e-07,6.262143999457750000e+13,8.891417157206360938e+13,1.320457053952163594e+14
6.530612244897958413e-07,6.629396772010900000e+13,9.178996036051764062e+13,1.336144786623836250e+14
6.938775510204081211e-07,5.894891333133943750e+13,8.603838284597787500e+13,1.304769321280498438e+14
6.734693877551019282e-07,6.262143999457750781e+13,8.891417157206351562e+13,1.320457053952162656e+14
7.142857142857142080e-07,5.527638776257998438e+13,8.316259418415065625e+13,1.289081588608848438e+14
6.938775510204081211e-07,5.894891333133950000e+13,8.603838284597793750e+13,1.304769321280498906e+14
7.346938775510202950e-07,5.160386332048336719e+13,8.028680558847184375e+13,1.273393855937207969e+14
7.142857142857142080e-07,5.527638776257996094e+13,8.316259418415064062e+13,1.289081588608846406e+14
7.551020408163264878e-07,4.793134003723342969e+13,7.741101706083125000e+13,1.257706123265577812e+14
7.346938775510202950e-07,5.160386332048331250e+13,8.028680558847171875e+13,1.273393855937206719e+14
7.755102040816325748e-07,4.425881794501365625e+13,7.453522860311896875e+13,1.242018390593962344e+14
7.551020408163264878e-07,4.793134003723341406e+13,7.741101706083120312e+13,1.257706123265578750e+14
7.959183673469386617e-07,4.058629707600667188e+13,7.165944021722487500e+13,1.226330657922358750e+14
7.755102040816325748e-07,4.425881794501365625e+13,7.453522860311892188e+13,1.242018390593961562e+14
8.163265306122447487e-07,3.691377746239472656e+13,6.878365190503892969e+13,1.210642925250767188e+14
7.959183673469386617e-07,4.058629707600664844e+13,7.165944021722482812e+13,1.226330657922357969e+14
8.367346938775509415e-07,3.324125913635937500e+13,6.590786366845110156e+13,1.194955192579188594e+14
8.163265306122447487e-07,3.691377746239470312e+13,6.878365190503888281e+13,1.210642925250766250e+14
8.571428571428570284e-07,2.956874213008164062e+13,6.303207550935139844e+13,1.179267459907623906e+14
8.367346938775509415e-07,3.324125913635937500e+13,6.590786366845111719e+13,1.194955192579189219e+14
8.775510204081631154e-07,2.589622647574185547e+13,6.015628742962970312e+13,1.163579727236074531e+14
8.571428571428570284e-07,2.956874213008164062e+13,6.303207550935136719e+13,1.179267459907624062e+14
8.979591836734693082e-07,2.222371220551972656e+13,5.728049943117591406e+13,1.147891994564537188e+14
8.775510204081631154e-07,2.589622647574183203e+13,6.015628742962960938e+13,1.163579727236073281e+14
9.183673469387753952e-07,1.855119935159433594e+13,5.440471151588005469e+13,1.132204261893015156e+14
8.979591836734693082e-07,2.222371220551971094e+13,5.728049943117592188e+13,1.147891994564538125e+14
9.387755102040814821e-07,1.487868794614406055e+13,5.152892368563210938e+13,1.116516529221509062e+14
9.183673469387753952e-07,1.855119935159432812e+13,5.440471151588005469e+13,1.132204261893015000e+14
9.591836734693875691e-07,1.120617802134660156e+13,4.865313594232196094e+13,1.100828796550016719e+14
9.387755102040814821e-07,1.487868794614406055e+13,5.152892368563210938e+13,1.116516529221508125e+14
9.795918367346938678e-07,7.533669609378934570e+12,4.577734828783955469e+13,1.085141063878539688e+14
9.591836734693875691e-07,1.120617802134659375e+13,4.865313594232190625e+13,1.100828796550015938e+14
9.999999999999999547e-07,3.861162742417418945e+12,4.290156072407491406e+13,1.069453331207079688e+14
