t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Average T volume 1,Flux surface 1: solute,Flux surface 2: solute
857.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3558.8176457809072,-791102475.4102976,-791077527.2997421
857.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3562.8176457809172,-791204136.716369,-791179185.3998349
858.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3566.817645780913,-791305583.0268862,-791280628.5111538
858.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3570.817645780895,-791406815.022314,-791381857.3141416
859.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3574.817645780902,-791507833.3802518,-791482872.486377
859.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3578.8176457809063,-791608638.7754493,-791583674.702588
860.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3582.817645780911,-791709231.8798217,-791684264.6346686
860.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3586.8176457809045,-791809613.3624636,-791784642.9516923
861.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3590.817645780917,-791909783.8896651,-791884810.3199285
861.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3594.81764578091,-792009744.1249251,-791984767.4028547
862.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3598.8176457808945,-792109494.7289668,-792084514.8611736
862.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3602.8176457808972,-792209036.3597518,-792184053.352826
863.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3606.8176457809054,-792308369.6724946,-792283383.5330057
863.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3610.8176457809104,-792407495.319677,-792382506.0541737
864.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3614.8176457808995,-792506413.9510621,-792481421.5660731
