x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s
6.969696969696969474e-03,1.389019540766320312e+12,7.528554910951914062e+13,7.693634958766006250e+14,3.591449494184214500e+15,1.085271774397572200e+16,2.521050897625347200e+16,4.982012083707848800e+16,9.010242811597422400e+16,1.582399718565184000e+17,2.810848026186648320e+17,5.110143697978637440e+17,9.379923695884849920e+17,1.700410438661754880e+18,2.992485021471473664e+18,5.066835973883848704e+18,8.231939262687197184e+18
6.666666666666666227e-03,1.181795048061931885e+12,6.648928843466105469e+13,6.980458458575182500e+14,3.322898694281236500e+15,1.018620604449197600e+16,2.391170040213794400e+16,4.759862972692567200e+16,8.644554393317043200e+16,1.520059354668704000e+17,2.698008727830314880e+17,4.899231855420252800e+17,8.989962843186663680e+17,1.631120137696484608e+18,2.875563395487057920e+18,4.879758110009606144e+18,7.947199667716810752e+18
7.272727272727272721e-03,1.635039443601267090e+12,8.535249860578817188e+13,8.489415614516667500e+14,3.885957837868821500e+15,1.157505615071221200e+16,2.660717493269704000e+16,5.219898869090288800e+16,9.401614540800198400e+16,1.649258328636159680e+17,2.932149186481111040e+17,5.337045554708138880e+17,9.799077621713309440e+17,1.774750142469787904e+18,3.117648158998490112e+18,5.266647429249776640e+18,8.535407763730300928e+18
6.969696969696969474e-03,1.389019540766318604e+12,7.528554910951909375e+13,7.693634958765996250e+14,3.591449494184209000e+15,1.085271774397570800e+16,2.521050897625344800e+16,4.982012083707841600e+16,9.010242811597411200e+16,1.582399718565182400e+17,2.810848026186645760e+17,5.110143697978631040e+17,9.379923695884833280e+17,1.700410438661752576e+18,2.992485021471470080e+18,5.066835973883841536e+18,8.231939262687186944e+18
7.575757575757575968e-03,1.927227057271330078e+12,9.687214420208229688e+13,9.376949813040818750e+14,4.208702773892438500e+15,1.235720120477268400e+16,2.810757399219720800e+16,5.474382873883468000e+16,9.820098233816801600e+16,1.720907906245997120e+17,3.062453293969157120e+17,5.580964988994795520e+17,1.024923548006962816e+18,1.854434515387106560e+18,3.251501369682341888e+18,5.479833283118798848e+18,8.858473726258096128e+18
7.272727272727272721e-03,1.635039443601264404e+12,8.535249860578804688e+13,8.489415614516656250e+14,3.885957837868813000e+15,1.157505615071220000e+16,2.660717493269700800e+16,5.219898869090280800e+16,9.401614540800190400e+16,1.649258328636156800e+17,2.932149186481107200e+17,5.337045554708133120e+17,9.799077621713286400e+17,1.774750142469785600e+18,3.117648158998488576e+18,5.266647429249768448e+18,8.535407763730287616e+18
7.878787878787879215e-03,2.274367651824739746e+12,1.100524050524451094e+14,1.036638674174485875e+15,4.562162450933701000e+15,1.320342469689271600e+16,2.971797205990294800e+16,5.746382045999482400e+16,1.026723075815818880e+17,1.797643444149114560e+17,3.202345932104750080e+17,5.843011286997683200e+17,1.073234516473036672e+18,1.939779992752475136e+18,3.394523708538120704e+18,5.707075767796083712e+18,9.202059295995566080e+18
7.575757575757575968e-03,1.927227057271326904e+12,9.687214420208217188e+13,9.376949813040807500e+14,4.208702773892432000e+15,1.235720120477267000e+16,2.810757399219716000e+16,5.474382873883459200e+16,9.820098233816792000e+16,1.720907906245994880e+17,3.062453293969151360e+17,5.580964988994790400e+17,1.024923548006960896e+18,1.854434515387103744e+18,3.251501369682337280e+18,5.479833283118788608e+18,8.858473726258085888e+18
8.181818181818182462e-03,2.686929212637919922e+12,1.251306591347415469e+14,1.146897472263729250e+15,4.949028647235399000e+15,1.411830634785328200e+16,3.144504399178886400e+16,6.036876024769473600e+16,1.074466477785368640e+17,1.879783895941330880e+17,3.352460482725895040e+17,6.124381110592730880e+17,1.125050026247461248e+18,2.031125388446244096e+18,3.547226290073918976e+18,5.949100445371521024e+18,9.567142406567288832e+18
7.878787878787879215e-03,2.274367651824735840e+12,1.100524050524449844e+14,1.036638674174485250e+15,4.562162450933695000e+15,1.320342469689269400e+16,2.971797205990291600e+16,5.746382045999476000e+16,1.026723075815817600e+17,1.797643444149111680e+17,3.202345932104744320e+17,5.843011286997676800e+17,1.073234516473035520e+18,1.939779992752470528e+18,3.394523708538113536e+18,5.707075767796075520e+18,9.202059295995556864e+18
